Banding Code	Common Name	Scientific Name	Vermont Subspecies	eBird Subspecies	eBird Subspecies Sci. Name	Total Subsp.	Subsp. in VT	Wash. Co. Records	VT Records	VT Media Records	Richard Needs	Wash needs	Vermont Needs	Global Needs	Field Diagnostics	Notes	eBird Species Page	BotW Systematics
	Color Scheme:																	
	To Do	Look for	Special note	more research needed	Done	Mine is the only or first record												
																		
	Waterfowl																	
SNGO	Snow Goose	Anser caerulescens	A.c. carulescens, A.c. atlanticus	None		2	2?								Size. But overlap.	There is also a blue morph.		https://birdsoftheworld.org/bow/species/snogoo/cur/systematics
ROGO	Ross's Goose	Anser rossii	Monotypic	None												Blue morph exists.		
BRAN	Brant	Branta bernicla	B. b. hrota	Brant (Atlantic)	B. b. hrota	3	1		100+	21p	Species (VT)		Subsp. audio		Pale, grayish-brown belly contrasts sharply with black breast; white fringes on sides broaden from breast to flanks; dorsum distinctly brown; necklace often broken in front.			https://birdsoftheworld.org/bow/species/brant/cur/systematics
CACG	Cackling Goose	Branta hutchinsii	B. h. hutchinsii	Cackling Goose (Richardson's)	B. h. h.	4	1	0	50+	7p	Ssp.	Ssp.	Audio		Similar to B. h. taverneri, but paler overall, virtually always lack a white collar, and averages slightly smaller, being the size of B. h. leucopareia (although with the head rounder, on average).			https://birdsoftheworld.org/bow/species/cacgoo1/cur/systematics
CANG	Canada Goose	Branta canadensis	B. c. c.	Canada Goose (canadensis Group)	B. c. [c. G.]	7(4)	1	0	0	0	Ssp.	Ssp.	Ssp.		Like B. c. interior, but brown mantle separated sharply from the black neck by a pale patch; breast markedly paler. Hybridizes with B. c. interior westward on the Ungava Peninsula of eastern Quebec (Palmer 1976).			
TRUS	Trumpeter Swan	Cygnus buccinator	Monotypic	None														
TUSW	Tundra Swan	Cygnus columbianus	C. c. c.	Tundra Swan (Whistling)	C. c. c. 	2	1	0	1	0	Ssp.	Ssp.	Media		Slightly larger than Bewick's: average mass of adult male Bewick's 6.3 kg (4.5-8.4) and adult females 5.6 kg (4.3-7.8; (Evans and Kear 1978) ); appearance differs principally in extent of yellow lore pattern.			https://birdsoftheworld.org/bow/species/tunswa/cur/systematics
WODU	Wood Duck	Aix sponsa	Monotypic	None														
BWTE	Blue-winged Teal	Spatula discors	Monotypic	None														
NSHO	Northern Shoveler	Spatula clypeata	Monotypic	None														
GADW	Gadwall	Mareca strepera	M. s. s.	Gadwall (Common)	M. s. s. 	2	1	0	11	0	Ssp.	Ssp.	Media		Not small or extinct.			https://birdsoftheworld.org/bow/species/gadwal/cur/systematics
AMWI	American Wigeon	Mareca americana	Monotypic	None														
MALL	Mallard	Anas platyrhynchos	A. p. platyrhynchos	None		2	1									One subspecies in Greenland. Otherwise, clinal.	https://ebird.org/species/mallar3/	https://birdsoftheworld.org/bow/species/mallar3/cur/systematics
ABDU	American Black Duck	Anas rubripes	Monotypic	None														
NOPI	Northern Pintail	Anas acuta	Monotypic	None														
GWTE	Green-winged Teal	Anas crecca	A. c. carolinensis	Green-winged Teal (American)	A. c. c. 	2	2	1 American, 0 Eurasian	Many for both	35p of both species	Eurasian ssp (VT), audio	A.c.c., audio	Audio		Anas c. carolinensis males in breeding plumage characterized by a white vertical    stripe below the breast.			https://birdsoftheworld.org/bow/species/gnwtea/cur/systematics
CANV	Canvasback	Aythya valisineria	Monotypic	None														
RNDU	Ring-necked Duck	Aythya collaris	Monotypic	None														
GRSC	Greater Scaup	Aythya marila	A. m. nearctica	None		2	1											
LESC	Lesser Scaup	Aythya affinis	Monotypic	None														
HADU	Harlequin Duck	Histrionicus histrionicus	Monotypic	None														
SUSC	Surf Scoter	Melanitta perspicillata	Monotypic	None														
WWSC	White-winged Scoter	Melanitta deglandi	Monotypic	None														
BLSC	Black Scoter	Melanitta americana	Monotypic	None														
LTDU	Long-tailed Duck	Clangula hyemalis	Monotypic	None														
BUFF	Bufflehead	Bucephala albeola	Monotypic	None														
COGO	Common Goldeneye	Bucephala clangula	B. c. americana	None		2	1								Minimal differences.			https://birdsoftheworld.org/bow/species/comgol/cur/systematics
BAGO	Barrow's Goldeneye	Bucephala islandica	Monotypic	None														
HOME	Hooded Merganser	Lophodytes cucullatus	Monotypic	None														
COME	Common Merganser	Mergus merganser	M. m. americanus	Common Merganser (American)	M. m. a.	3	1		100+	8p, 1a					Lateral feathering at bill base forms a straight line from the forehead to mandible; bill thickens from middle to base, with nostrils placed nearer to the center of the bill; nail forms small, usually indistinct hook; in the adult male, white forewing crossed by a black bar    , forehead smooth with a gentle slope, no puff of feathers on nape, and bill scarlet; the female    and immature average darker	Seen both.		https://birdsoftheworld.org/bow/species/commer/cur/systematics
RBME	Red-breasted Merganser	Mergus serrator	Monotypic	None														
RUDU	Ruddy Duck	Oxyura jamaicensis	Monotypic	None														
																		
	Grouse, Quail, and Allies																	
RNEP	Ring-necked Pheasant	Phasianus colchicus	P.c. colchicus	P.c. colchicus, P.c. versicolor	Ring-necked Pheasant (Ring-necked), (Green)	32 (2)	1		3	1p	Species (VT), subspecies		Audio		Not green on mantle and underparts (aka, not Green Pheasant)		https://ebird.org/species/rinphe	https://birdsoftheworld.org/bow/species/rinphe/cur/systematics
RUGR	Ruffed Grouse	Bonasa umbellus	B.u. togata	None		15	1								Medium brown often mixed with grays; pronounced ventral barring and black markings of upperparts well developed.			https://birdsoftheworld.org/bow/species/rufgro/cur/systematics
WITU	Wild Turkey	Meleagris gallopavo	M.g. silvestris	None		6 (2)	1								Characterized by dark, rich coloration with rectrix tips varying from chocolate brown to rusty or deep cinnamon.			https://birdsoftheworld.org/bow/species/wiltur/cur/systematics
																		
	Grebes																	
PBGR	Pied-billed Grebe	Podilymbus podiceps	P.p.p.	None		3	1								Not safely diagnosed in field.			
HOGR	Horned Grebe	Podiceps auritus	P. a. cornutus	None		2	1								Differences probably not discernable in field			https://birdsoftheworld.org/bow/species/horgre/cur/systematics
RNGR	Red-necked Grebe	Podiceps grisegena	P.g. holbolli	None		2	1								Not safely diagnosed in field.			https://birdsoftheworld.org/bow/species/rengre/cur/systematics
																		
	Pigeons and Doves																	
ROPI	Rock Pigeon (Feral Pigeon)	Columbus livia	C. l. livia	None		9	1								Not safely identifiable in field, due to domestic variation.	Rock Pigeon (Feral Pigeon) recognized name on eBird, to diffentiate from Rock Pigeon and Rock Pigeon (Wild Type)	https://ebird.org/species/rocpig/	https://birdsoftheworld.org/bow/species/rocpig/cur/systematics
MODO	Mourning Dove	Zenaida macroura	C. m. carolinensis	None		5	1								Clinal. Not safe in field.			https://birdsoftheworld.org/bow/species/moudov/cur/systematics
																		
	Cuckoos																	
YBCU	Yellow-billed Cuckoo	Coccyzus americanus	None	None							Species (VT)							
BBCU	Black-billed Cuckoo	Coccyzus erythropthalmus	None	None							Photo							
																		
	Nightjars																	
CONI	Common Nighthawk	Chordeiles minor	C. m. minor	None		9	1				Species (WA)				Probably not safe to describe in the field due to difficulty of lighting and observation.			https://birdsoftheworld.org/bow/species/comnig/cur/systematics
EWPW	Eastern Whip-poor-will	Antrostomus vociferus	None	None							Species (US)							
																		
	Swifts																	
CHSW	Chimney Swift	Chaetura pelagica	None	None														
																		
	Hummingbirds																	
RTHU	Ruby-throated Hummingbird	Archilochus colubris	Monotypic	None														
																		
	Rails, Gallinules and Allies																	
VIRA	Virginia Rail	Rallus limicola	R. l. limicola	Virginia Rail (Virginia)	R. l. limicola/friendmanni	2	1		15	3p, 2a	Subspecies, photo				Couldn't find any information on field diagnostics.	How are these different, besides range?		
SORA	Sora	Porzana carolina	Monotypic	None							Media							
COGA	Common Gallinule	Gallinula galeata	G. g. cachinnans	Common Gallinule (American)	Gallinula galeata [galeata Group]	7	1		2		Subspecies, photo		Media		dorsum, including the wing coverts and secondaries, warmer brown (less blackish or dark olive) and tarsi uniformly yellow.			https://birdsoftheworld.org/bow/species/comgal1/cur/systematics
AMCO	American Coot	Fulica americana	F. a. americana	See note.		2	1		100+	57p, 1a	Species (VT)				Subspecies identifiable by range; other ssp. resident in Andes	There is a White-shielded and Red-shielded morph. The Red is across N.Am, while White is restricted to the Caribbean. Note: Two records of WS on the east coast are probably false. I've emailed Ian and Zac about them. 	https://ebird.org/species/y00475	https://birdsoftheworld.org/bow/species/y00475/cur/systematics
																		
	Cranes																	
SACR	Sandhill Crane	Antigone canadensis	A. c. tabida	Sandhill Crane (tabida/rowani)	A. c. tabida/rowani	6	2		7	3p	Species (VT)		Subspecies Audio, A. c. canadensis proof	A.c. canadensis in Vermont	Tabida/rowani the red cap extends straight posterior to the eye for some distance (2–4 cm) before angling upward, and the forehead is more sloped. Canadensis red crown angles sharply upward directly behind the eye; plumage generally a deep ash-gray; forehead rounded.	Largely tabida here, but may also be canadensis - seen in QC and NH.		https://birdsoftheworld.org/bow/species/sancra/cur/systematics
																		
	Shorebirds																	
BBPL	Black-bellied Plover	Pluvialis squatarola	Monotypic	None				1	100+	220p	Species (US)	Media	Audio					https://birdsoftheworld.org/bow/species/bkbplo/cur/systematics
AMGP	American Golden-Plover	Pluvialis dominica	Monotypic	None				2	100+	136p	Species	Media	Audio					https://birdsoftheworld.org/bow/species/amgplo/cur/systematics
SEPL	Semipalmated Plover	Charadrius semipalmatus	Monotypic	None				10+	100+	303p, 1a	Species (VT)	Media						https://birdsoftheworld.org/bow/species/semplo/cur/systematics
KILL	Killdeer	Charadrius vociferus	C. v. vociferus	None		3	1	1000+	1000+	352p, 12a					Overall largest race; upperparts brown (less grayish); rufous edging on wing coverts only moderately extensive in Basic plumage.	Some counties don't have audio		https://birdsoftheworld.org/bow/species/killde/cur/systematics
UPSA	Upland Sandpiper	Bartramia longicauda	Monotypic	None							Species (VT)	Media						https://birdsoftheworld.org/bow/species/uplsan/cur/systematics
REKN	Red Knot	Calidris canutus	C. c. rufa	None		6	1	1	100	73p	Species	Media	Audio		Hard to distinguish not in hand.			https://birdsoftheworld.org/bow/species/redkno/cur/systematics
SAND	Sanderling	Calidris alba	Monotypic	None				1	100+	97p	Species (VT)	Media	Audio					https://birdsoftheworld.org/bow/species/sander/cur/systematics
DUNL	Dunlin	Calidris alpina	C. a. hudsonia	Dunlin (hudsonia)	Calidris alpina hudsonia	9 (6)	1	0	1	0	Species (N. America)	Media	Media, justified ssp.	Audio!	Not on BotW			https://birdsoftheworld.org/bow/species/dunlin/cur/systematics
BASA	Baird's Sandpiper	Calidris bairdii	Monotypic	None				2	100+	114p	Species	Media	Audio					https://birdsoftheworld.org/bow/species/baisan/cur/systematics
LESA	Least Sandpiper	Calidris minutilla	Monotypic	None				50+	100+	358p, 2a	Species (VT)	Media						https://birdsoftheworld.org/bow/species/leasan/cur/systematics
WRSA	White-rumped Sandpiper	Calidris fuscicollis	Monotypic	None				1	100+	92p	Species	Media	Audio					https://birdsoftheworld.org/bow/species/whrsan/cur/systematics
PESA	Pectoral Sandpiper	Calidris melanotos	Monotypic	None														
SESA	Semipalmated Sandpiper	Calidris pusilla	Monotypic	None														
SBDO	Short-billed Dowitcher	Limnodromus griseus	L. g. griseus, L. g. hendersoni	Short-billed Dowitcher (griseus), S-b D (hendersoni)	L. g. g., L. g. h. 	3	2	0	4, 2	1p (griseus)	Species (US)	Audio (species), photos (ssp)	Audio (species), photo (griseus)		In breeding (Alternate) plumage, L. g. griseus, which migrates mainly through e. North America, has pale-orangish underparts, and the color is restricted to the breast; belly mainly white; spotting dense, mainly on breast and upper breast; upperparts dark. Overall, griseus is slightly smaller and shorter-billed than other races. L. g. hendersoni, which migrates mainly through e. and central North America, is slightly larger and longer-billed; rusty color of the underparts darker and more extensive, extending to belly and undertail coverts, color matching that of the mud on which it feeds during later part of breeding season; ventral spotting sparser, and with more ventral barring than other races. Pale margins of dorsal feathers wider and buffier than in griseus, making impression of more golden dorsum.			https://birdsoftheworld.org/bow/species/shbdow/cur/systematics
AMWO	American Woodcock	Scolopax minor	Monotypic	None														
WISN	Wilson's Snipe	Gallinago delicata	Monotypic	None														
RNPH	Red-necked Phalarope	Phalaropus lobatus	Monotypic	None														
REPH	Red Phalarope	Phalaropus fulicarius	Monotypic	None														
SPSA	Spotted Sandpiper	Actitis macularius	Monotypic	None														
SOSA	Solitary Sandpiper	Tringa solitaria	T.s.s.	Solitary Sandpiper (solitaria)	T.s.s.	2	1		0	0	Ssp.		Records		White bars on rectrices broad; in fresh plumage, dorsal plumage dark olive and dorsal spots buffy white, heavier; loral streak solid		https://birdsoftheworld.org/bow/species/solsan/cur/systematics	
GRYE	Greater Yellowlegs	Tringa melanoleuca	Monotypic	None														
WILL	Willet	Tringa semipalmata	T.s. semipalmata	Willet (Eastern)	T.s.s.	2	1		1 (same bird, 4 records)	13p,1a	Species (VT)				bill relatively more stout than inornata; darker and browner overall, especially upperparts, being gray-brown above; Alternate plumage heavily marked with bars and spots and with tail usually prominently barred (but generally not reaching tail tip as on inornata); Basic plumage browner than inornata, with breast more solidly washed grayish brown.	The sound apparently differs. I don't know if this also counts for flight calls.	https://ebird.org/vt/species/willet1	https://birdsoftheworld.org/bow/species/willet1/cur/systematics
LEYE	Lesser Yellowlegs	Tringa flavipes	Monotypic	None														
																		
	Alcids																	
COMU	Common Murre	Uria aalge	U. a. aalge	None							Species							
TBMU	Thick-billed Murre	Uria lomvia	U. l. lomvia	None							Species							
																		
	Gulls, Terns, and Skimmers																	
BOGU	Bonaparte's Gull	Chroicocephalus philadelphia	Monotypic	None														
LAGU	Laughing Gull	Leucophaeus atricilla	Monotypic	None												Confusingly, no subspecies, but two listed in BotW		
RBGU	Ring-billed Gull	Larus delawarensis	Monotypic	None														
HERG	Herring Gull	Larus argentatus	L. a. smithsonianus	Herring Gull (American)	L. a. s.	5(4)	1											
ICGU	Iceland Gull	Larus glaucoides				3	2											
LBBG	Lesser Black-backed Gull	Larus fuscus				5												
GLGU	Glaucous Gull	Larus hyperboreus	L. h. leucoretes	None												L.h.l sometimes considered L.h.h. May be hard to diagnose in field		
GBBG	Great Black-backed Gull	Larus marinus	Monotypic	None														
CATE	Caspian Tern	Hydroprogne caspia	Monotypic	None														
BLTE	Black Tern	Chlidonias niger	C. n. surinamensis	Black Tern (American)	C. n. surinamensis	2	1	0	2	0	Species	Ssp.	Media		In alternate plumage, underparts black or blackish gray; in basic    and juvenile plumages, smudge at side of breast wider, darker    , as well as pale streaks on dark crown; coloration similar on female and male.			https://birdsoftheworld.org/bow/species/blkter/cur/systematics
COTE	Common Tern	Sterna hirundo	S. h. hirundo	Common Tern (hirundo/tibetana)	S. h. h./t.	3 (2)	1	0	0	Species	Ssp. 	Ssp.	Ssp.		The dorsum is medium gray; the ventrum is pale gray; in breeding condition, the bill is extensively red with black tip, and the legs and feet are vivid red; the wing is relatively short and the bill relatively long (exposed culmen > 32 mm).			https://birdsoftheworld.org/bow/species/comter/cur/systematics
																		
	Tropicbirds																	
WTTR	White-tailed Tropicbird	Phaethon lepturus	P.l. catesbyi	White-tailed Tropicbird (Atlantic)		5	1									If you see this bird, you've got other shit going on		
																		
	Loons																	
RTLO	Red-throated Loon	Gavia stellata	Monotypic	None														
COLO	Common Loon	Gavia immer	Monotypic	None														
																		
	Storm-Petrels																	
LESP	Leach's Storm-Petrel	Oceanodroma leucorhoa	O. l. leucorhoa	Leach's Storm-Petrel (Leach)	O. l. l. 	2	1	0	0	0	Species	Media	Media (species)		Rump generally white, with a dark midline, although the proportion of individuals with the rump wholly dark increases southward in the eastern Pacific Ocean; large overall; wingtips pointed; tail notch shallower.			https://birdsoftheworld.org/bow/species/lcspet/cur/systematics
																		
	Cormorants and Anhingas																	
DCCO	Double-crested Cormorant	Phalacrocorax auritus	P. a. a.	None		5	1								crest variably mixed white and black			
																		
	Herons, Ibis and Allies																	
AMBI	American Bittern	Botaurus lentiginosus	Monotypic	None														
LEBI	Least Bittern	Ixobrychus exilis	I e. exilis	None		5	1				Species.				Sides of head ochre; wing coverts creamy yellow should be enough to distinguish.	Very rare in Vermont. Never seen in Washington County, or Green Mountains in general.	https://ebird.org/species/leabit/	https://birdsoftheworld.org/bow/species/leabit/cur/systematics
GBHE	Great Blue Heron	Ardea herodias	A. h.	Great Blue Heron (Blue form)	A. h. [h. G.]	5 (2)	1	10+	1000+	16p	Media	Media	Audio		Blue.			https://birdsoftheworld.org/bow/species/grbher3/cur/systematics
GREG	Great Egret	Ardea alba	A. a. egretta	Great Egret (American)	A. a. egretta	4	1	0	2	0	Ssp.	Ssp.	Media		when breeding, bill    orangish yellow and culmen and tibia black.			https://birdsoftheworld.org/bow/species/greegr/cur/systematics
LBHE	Little Blue Heron	Egretta caerulea	Monotypic	None														
TRHE	Tricolored Heron	Egretta tricolor	E. t. ruficollis	None		2	1			46p			Audio					
CAEG	Cattle Egret	Bubulcus ibis	B. i. ibis	Cattle Egret (Western)	B. i. ibis	2	1	0	1	0	Ssp., Species (US)	Media	Media, Audio (species)		Plumes pinkish buff to orange buff, with chin to lower foreneck white; tibiae feathered to a great extent; small (mass light, bill short and thin, tarsus short).			https://birdsoftheworld.org/bow/species/categr/cur/systematics
GRHE	Green Heron	Butorides virescens	B. v. virescens	Green Heron (virescens/bahamensis)	B. v. v./b.	4(3)	1	0	1	0	Ssp.	Ssp.	Media		No idea			https://birdsoftheworld.org/bow/species/grnher/cur/systematics
BCNH	Black-crowned Night-Heron	Nycticorax nycticorax	N. n. hoactli	Black-crowned Night-Heron (American)	N.n.h.	4	1	0	0	0	Ssp.	Ssp.	Ssp.		Like the nominate subspecies, but auriculars and sides of neck whiter, supercilium of narrower and whiter, and, in breeding condition, legs and feet salmon pink; also averages much larger in body size.			https://birdsoftheworld.org/bow/species/bcnher/cur/systematics
GLIB	Glossy Ibis	Plegadis falcinellus	Monotypic	None														
																		
	Vultures, Hawks, and Allies																	
BLVU	Black Vulture	Coragyps atratus	C.a.a	None		3	1											
TUVU	Turkey Vulture	Cathartes aura	C.a. septentrionalis	Turkey Vulture (Northern)	C. a. aura/septentrionalis	6(3)	1	1	5	1	Audio		Audio	Audio	Plumage not entirely black, and lacking white collar on the outer side of the neck.			https://birdsoftheworld.org/bow/species/turvul/cur/systematics
OSPR	Osprey	Pandion haliaetus	P. h. carolinensis	Osprey (carolinensis)	P.h.c.	4	1	3	100+	7p	Ssp audio		Audio		Complicated			https://birdsoftheworld.org/bow/species/osprey/cur/systematics
STKI	Swallow-tailed Kite	Elanoides forficatus	Unknown	None		2	Unknown											
GOEG	Golden Eagle	Aquila chrysaetos	A. c. canadensis	None														
NOHA	Northern Harrier	Circus hudsonius	Monotypic	None														
SSHA	Sharp-shinned Hawk	Accipiter striatus	A. s. velox	Sharp-shinned Hawk (Northern)	Accipiter striatus [velox Group]	10 (6)	100+	0	100+	7p	SSp.	Ssp.	Audio		Gray to grayish blue above, crown darker; tail with alternating narrower dark and broader pale tail bands (outer rectrices of all races have dark bars narrower than pale bars; some velox have width of dark bars equal to pale bars; Storer 1952b); underparts white with conspicuous rufous or tawny bars, including tibial feathers; iris of adult orange to red.			https://birdsoftheworld.org/bow/species/shshaw/cur/systematics
COHA	Cooper's Hawk	Accipiter cooperii	Monotypic	None														
NOGO	Northern Goshawk	Accipiter gentilis	A. g. atricapillus	Northern Goshawk (American)	A. g. atricapillus/laingi	10	1	0	7	3p	Subspecies	Ssp.	Audio		A.g. atricapillus is distinguished by its broad supercilium and deep-red iris	Clinal subspecies, probably not distinguishable by voice		https://birdsoftheworld.org/bow/species/norgos/cur/systematics
BAEG	Bald Eagle	Haliaeetus leucocephalus	H. l. washingtoniensis	None														
RSHA	Red-shouldered Hawk	Buteo lineatus	B. l. lineatus	Red-shouled Hawk (lineatus Group)	B. l. [l. G.]	5 (3)	1	0	20	1p	Ssp.	Ssp.	Audio		Dark, without fully red breast, among other features			https://birdsoftheworld.org/bow/species/reshaw/cur/systematics
BWHA	Broad-winged Hawk	Buteo platypterus	B. p. p.	Broad-winged Hawk (Northern)	B. p. p.	6(2)	1	0	4	2p	Ssp.	Ssp.	Audio		feathers on crown, nape, and wing coverts narrowly edge with dull rufous; dorsum medium brown; ventral bars approximately even white and rufous; throat mostly unmarked white; thighs buff and moderately barred.			https://birdsoftheworld.org/bow/species/brwhaw/cur/systematics
RTHA	Red-tailed Hawk	Buteo jamaicensis	B. j. borealis, abieticola	Red-tailed Hawk (borealis), (abieticola)	B. j. b, b. j. a. 	15 (13)	2	2	100+	42p (b), 62p (a)	Audio	Audio	Audio		Complicated.	Abieticola not in botw. Also, Zac appears to have rejected most of my records.		https://birdsoftheworld.org/bow/species/rethaw/cur/systematics
